LOGGED_AT,EXPERIMENT_ID,MODEL,FEATURES,CV_SCORE,NOTES
2026-03-13 12:25:47.051,exp_20260307_003919,ExtraTreesRegressor,Landsat+TerraClimate+CHIRPS+HydroBASINS+HydroRIVERS+DRP-focused interactions,0.312895,Portfolio closure baseline; best cv_mean from experiments/experiment_index.csv as of 2026-03-13.
2026-03-13 12:25:48.881,exp_20260307_003919,ExtraTreesRegressor,Landsat+TerraClimate+CHIRPS+HydroBASINS+HydroRIVERS+DRP-focused interactions,0.312895,Portfolio closure baseline; best cv_mean from experiments/experiment_index.csv as of 2026-03-13.
