iter	RMSE
539	26.83063781
540	26.82448673
541	26.81089922
542	26.80065217
543	26.78705574
544	26.77545654
545	26.7672023
546	26.75753366
547	26.74917864
548	26.74203966
549	26.72990322
550	26.72489147
551	26.71522462
552	26.70701375
553	26.69600248
554	26.6891233
555	26.67880281
556	26.66548859
557	26.65638165
558	26.64948865
559	26.64105208
560	26.63075427
561	26.6237426
562	26.61639627
563	26.61270546
564	26.59799928
565	26.5824329
566	26.5750626
567	26.56763038
568	26.55858679
569	26.54350947
570	26.54132993
571	26.53331699
572	26.52211972
573	26.51404052
574	26.50811362
575	26.50119642
576	26.48549915
577	26.47389912
578	26.46850199
579	26.4623952
580	26.4541146
581	26.44653504
582	26.43612177
583	26.42825525
584	26.41678184
585	26.41009298
586	26.3991594
587	26.3883207
588	26.38142108
589	26.370587
590	26.36083811
591	26.35368613
592	26.34321332
593	26.33265964
594	26.32256574
595	26.31241689
596	26.30158906
597	26.28427012
598	26.27878233
599	26.2706268
600	26.26294552
601	26.25171177
602	26.24427717
603	26.2391471
604	26.23252919
605	26.22159699
606	26.21609567
607	26.20980547
608	26.2001785
609	26.1917728
610	26.18204963
611	26.17871449
612	26.17038757
613	26.15627455
614	26.14500101
615	26.13336273
616	26.12430617
617	26.11555057
618	26.10994806
619	26.10221213
620	26.09192787
621	26.07969828
622	26.06909325
623	26.06381484
624	26.05525061
625	26.0493743
626	26.04176114
627	26.03663231
628	26.02447968
629	26.01298009
630	26.00404256
631	25.99452181
632	25.98448498
633	25.97296805
634	25.96673744
635	25.95739938
636	25.94422418
637	25.9384582
638	25.93256658
639	25.92415467
640	25.91170825
641	25.90190943
642	25.89355285
643	25.88457558
644	25.87572903
645	25.87092957
646	25.86247117
647	25.85684438
648	25.84872904
649	25.84474398
650	25.83494144
651	25.82328341
652	25.81565113
653	25.8075639
654	25.80117152
655	25.79791668
656	25.79053064
657	25.78322959
658	25.77654628
659	25.77045102
660	25.76200919
661	25.7558028
662	25.7476641
663	25.74083439
664	25.73199783
665	25.72983447
666	25.71506309
667	25.70830431
668	25.69686603
669	25.69329314
670	25.68915325
671	25.68220457
672	25.6708426
673	25.66037931
674	25.6506776
675	25.64190905
676	25.63113796
677	25.62570863
678	25.61573555
679	25.60980799
680	25.60219165
681	25.5917436
682	25.58486911
683	25.57713329
684	25.57235508
685	25.5688632
686	25.56706129
687	25.5603214
688	25.5482611
689	25.54125239
690	25.53312231
691	25.5213273
692	25.51462919
693	25.50966193
694	25.49823092
695	25.49150818
696	25.48186386
697	25.4752327
698	25.46512264
699	25.45603301
700	25.45192086
701	25.44771225
702	25.44374215
703	25.43971794
704	25.43384505
705	25.42872987
706	25.42254683
707	25.40951472
708	25.39866293
709	25.3941077
710	25.38601408
711	25.38170736
712	25.36543502
713	25.35874296
714	25.35122349
715	25.34563203
716	25.34099231
717	25.32916418
718	25.32454029
719	25.32084667
720	25.31504541
721	25.30735796
722	25.30285937
723	25.29679591
724	25.28753897
725	25.28001702
726	25.27215232
727	25.25907391
728	25.25156362
729	25.24173126
730	25.23287144
731	25.2231176
732	25.21829404
733	25.21346751
734	25.21055222
735	25.19632181
736	25.1888429
737	25.18276248
738	25.17303712
739	25.16770348
740	25.1643966
741	25.16113692
742	25.15474072
743	25.14598781
744	25.13361767
745	25.13025668
746	25.12585978
747	25.12015384
748	25.11138177
749	25.10560758
750	25.09994243
751	25.0896725
752	25.08164449
753	25.07906383
754	25.06839582
755	25.06180521
756	25.05380242
757	25.04726582
758	25.03781286
759	25.03266069
760	25.02244519
761	25.02153563
762	25.01066178
763	25.00173226
764	24.99840667
765	24.99369229
766	24.98976604
767	24.9866231
768	24.98191781
769	24.97616486
770	24.96641519
771	24.96175057
772	24.95585682
773	24.94995817
774	24.94694385
775	24.94010352
776	24.93514422
777	24.92647943
778	24.91910651
779	24.91507218
780	24.90828246
781	24.90747207
782	24.89788873
783	24.89202987
784	24.88782493
785	24.87931044
786	24.87556409
787	24.86887828
788	24.85995328
789	24.85434165
790	24.84834473
791	24.84302491
792	24.83663127
793	24.83171065
794	24.82457234
795	24.82193496
796	24.8123057
797	24.80449136
798	24.79953114
799	24.79414868
